columna,tipo,n_nulos,pct_nulos,n_unicos,ejemplo,min,max,media,mediana,std,top_valor,top_freq
location,object,0,0.0,262,Afghanistan,,,,,,Ecuador,2069.0
date,object,0,0.0,2072,2020-01-01,,,,,,2022-07-31,261.0
total_cases,float64,14145,2.7,154335,0.0,0.0,778402651.0,14014719.626810271,82505.0,73215872.13775806,,
new_cases,float64,17315,3.31,32840,0.0,0.0,8401906.0,10731.813247110318,0.0,118409.7377059508,,
new_cases_smoothed,float64,18520,3.54,56854,0.0,0.0,6402033.0,10757.445953857761,5.142857,101121.92968454474,,
total_cases_per_million,float64,14145,2.7,195365,0.0,0.0,769887.94,129017.61961321527,45186.0605,174202.90717390802,,
new_cases_per_million,float64,17315,3.31,118555,0.0,0.0,231770.16,100.69620282921798,0.0,992.1926331689638,,
new_cases_smoothed_per_million,float64,18520,3.54,159587,0.0,0.0,37737.87,100.94034648650688,0.94298327,510.41572022344536,,
total_deaths,float64,14145,2.7,62170,0.0,0.0,7099056.0,153515.21261585935,1016.0,771454.8116030316,,
new_deaths,float64,16472,3.15,6115,0.0,0.0,57167.0,102.54441195203569,0.0,811.511006738305,,
new_deaths_smoothed,float64,17684,3.38,14681,0.0,0.0,14820.714,102.79198910641747,0.0,747.4505181683318,,
total_deaths_per_million,float64,14145,2.7,122265,0.0,0.0,6603.659,916.9402218095355,379.92666499999996,1177.0115432513026,,
new_deaths_per_million,float64,16472,3.15,31638,0.0,0.0,611.3003,0.6272819347677532,0.0,4.227320810273361,,
new_deaths_smoothed_per_million,float64,17684,3.38,58522,0.0,0.0,129.2137,0.6288265603926155,0.0,2.3037524700245995,,
excess_mortality,float64,509927,97.39,13377,-10.155285,-95.92102,378.5531,10.871509418749579,5.60044635,24.447882089273833,,
excess_mortality_cumulative,float64,509927,97.39,13668,-10.155285,-44.228275,78.07746,9.793466677350116,8.230202,11.971050944772713,,
excess_mortality_cumulative_absolute,float64,509927,97.39,13419,-247.19995,-37726.1,1349776.2,55286.61256115266,6557.8,155575.5164506466,,
excess_mortality_cumulative_per_million,float64,509961,97.4,13548,-86.22703,-2936.4531,10293.515,1785.6886427005386,1312.7213499999998,1988.678543561846,,
hosp_patients,float64,482943,92.24,10551,426.0,0.0,154497.0,3911.7415633608816,776.0,9845.750484741508,,
hosp_patients_per_million,float64,482943,92.24,26522,16.274,0.0,1526.846,125.98800656729635,74.236,151.15581236022732,,
weekly_hosp_admissions,float64,499102,95.32,8304,34.0,0.0,153977.0,4291.723313058742,864.0,10919.623681068944,,
weekly_hosp_admissions_per_million,float64,499102,95.32,17414,2.917,0.0,717.077,82.61912989345635,56.277,88.39675119263573,,
icu_patients,float64,484483,92.53,4133,62.0,0.0,28891.0,660.9714183454341,90.0,2139.6155316531676,,
icu_patients_per_million,float64,484483,92.53,13278,1.381,0.0,180.675,15.656340474486143,6.434,22.785488764073193,,
weekly_icu_admissions,float64,512606,97.9,1676,195.0,0.0,4838.0,317.8941144364596,92.0,514.4129100144712,,
weekly_icu_admissions_per_million,float64,512606,97.9,4365,9.947,0.0,224.976,9.671943509506049,4.645,13.574016514417899,,
stringency_index,float64,320839,61.28,4897,0.0,0.0,100.0,42.67542602091142,42.59,24.93030475946813,,
reproduction_rate,float64,337916,64.54,19815,1.5083,-0.0686,5.8715,0.9075935007512808,0.9483,0.4033756298020754,,
total_tests,float64,444212,84.84,78045,853003.0,0.0,9214000000.0,21104573.93801252,2067330.0,84098694.31109457,,
new_tests,float64,448196,85.6,38683,8.0,1.0,35855632.0,67285.41211888121,8783.0,247734.00456983913,,
total_tests_per_thousand,float64,444212,84.84,72348,21.272,0.0,32925.824,924.2547618753703,234.141,2195.4285050315707,,
new_tests_per_thousand,float64,448196,85.6,12374,0.003,0.0,531.062,3.2724657904857892,0.971,9.033842747139172,,
new_tests_smoothed,float64,419634,80.14,44392,1301.0,0.0,14769984.0,142178.3636993219,6570.0,1138214.655584086,,
new_tests_smoothed_per_thousand,float64,419634,80.14,13002,0.032,0.0,147.603,2.8263088347039873,0.851,7.30823257985592,,
positive_rate,float64,422039,80.6,99099,47.216427,0.0,94.50549,10.419265595683617,5.48902935,13.122784067287064,,
tests_per_case,float64,422954,80.78,99916,2.117907,0.0,789603.8,1833.1387971765075,17.596207,27387.489932583936,,
total_vaccinations,float64,440377,84.11,80638,0.0,0.0,13724514000.0,583668210.5519319,15740619.5,1875574951.5849545,,
people_vaccinated,float64,444588,84.91,73780,0.0,0.0,5645247500.0,264073436.34839553,6979643.0,814450906.6964469,,
people_fully_vaccinated,float64,446588,85.29,69823,55624.0,0.0,5197972500.0,243008602.2758433,6800994.0,750449933.7858733,,
total_boosters,float64,464815,88.77,48081,0.0,0.0,2840532201.0,143055472.4943182,6124202.5,423994970.00997883,,
new_vaccinations,float64,454723,86.85,45835,2859.0,0.0,49673200.0,766639.989004754,22055.5,3226523.335862426,,
new_vaccinations_smoothed,float64,320759,61.26,117606,1366.6666,0.0,43691812.0,275096.2796573771,3249.88575,1884856.7275254705,,
total_vaccinations_per_hundred,float64,440377,84.11,80925,0.0,0.0,415.88333,121.55954883938003,126.998445,84.79187477732025,,
people_vaccinated_per_hundred,float64,444588,84.91,73875,0.0,0.0,112.197395,52.67214045443974,63.223785,29.31177139765044,,
people_fully_vaccinated_per_hundred,float64,446588,85.29,70060,0.1370765,0.0,110.30859,47.26537758108478,56.59925,29.111994358397467,,
total_boosters_per_hundred,float64,464815,88.77,48899,0.0,0.0,140.53258,31.14048830043907,27.943597,29.34417413842058,,
new_vaccinations_smoothed_per_million,float64,320759,61.26,133400,33.679325,0.0,117350.82,1729.3149949196365,513.0541499999999,3052.9169970223666,,
new_people_vaccinated_smoothed,float64,320759,61.26,96399,1366.6666,0.0,21071264.0,100136.15154152512,566.0340249999999,758604.5935755194,,
new_people_vaccinated_smoothed_per_hundred,float64,320759,61.26,120623,0.0033679325,0.0,11.735082,0.06927123084591667,0.010297491999999998,0.1722681441069045,,
iso_code,object,23024,4.4,247,AFG,,,,,,FIN,2069.0
continent,object,39392,7.52,6,Asia,,,,,,Africa,115965.0
population,float64,16958,3.24,249,40578801.0,501.0,8021407128.0,131401274.73889203,6035057.0,668171656.6188737,,
